"","overall","gbm","rf","earth"
"corine_pergrass",0,0,0,0
"corine_perdeciduous",0.566009449057778,2.32741407205532,0.90118876057882,0
"corine_perConiferous",1.52170419176027,0.636260895370905,2.53918447734847,0
"varSolRad100",2.08112946573758,2.79281851885781,3.43286645977992,0
"wettprec",2.08294969136727,2.02411028068879,3.45183239424545,0
"dristprec",3.01155797470548,2.60793558074515,4.99730211822759,0
"corine_perAgriculture",3.22431227392849,3.89949691297629,5.32741872242824,0
"SolRad100",9.35924616709454,11.6846484514308,11.5663251739894,5.92455713729702
"maxtemp",10.0197603080278,7.55966228528602,11.5857546534329,7.71231518719569
"tempseas",21.512454060154,15.0675268258437,20.4577562158095,23.321946920465
"ESM1000m_singleINT_ext",46.6208764181668,51.4001261767452,35.7403710241596,63.0411807550423
