"speciesKey"	"species"	"decimalLatitude"	"decimalLongitude"	"kingdom"	"phylum"	"class"
"1836"	1311477	"Vespa velutina"	48.172867	11.638342	"Animalia"	"Arthropoda"	"Insecta"
"1852"	1311477	"Vespa velutina"	54.164967	10.720361	"Animalia"	"Arthropoda"	"Insecta"
"1881"	1311477	"Vespa velutina"	48.725868	13.380715	"Animalia"	"Arthropoda"	"Insecta"
"1883"	1311477	"Vespa velutina"	47.839638	7.71374	"Animalia"	"Arthropoda"	"Insecta"
"1889"	1311477	"Vespa velutina"	51.013767	14.584963	"Animalia"	"Arthropoda"	"Insecta"
"1895"	1311477	"Vespa velutina"	48.151886	11.461101	"Animalia"	"Arthropoda"	"Insecta"
"1978"	1311477	"Vespa velutina"	47.70814	-3.39705	"Animalia"	"Arthropoda"	"Insecta"
"1998"	1311477	"Vespa velutina"	45.57891	1.40395	"Animalia"	"Arthropoda"	"Insecta"
"2072"	1311477	"Vespa velutina"	39.054084	-7.831209	"Animalia"	"Arthropoda"	"Insecta"
"2161"	1311477	"Vespa velutina"	43.905415	7.944544	"Animalia"	"Arthropoda"	"Insecta"
"2306"	1311477	"Vespa velutina"	50.75151	3.21501	"Animalia"	"Arthropoda"	"Insecta"
"2568"	1311477	"Vespa velutina"	48.21278	-1.69288	"Animalia"	"Arthropoda"	"Insecta"
"2592"	1311477	"Vespa velutina"	48.70931	-1.84493	"Animalia"	"Arthropoda"	"Insecta"
"2614"	1311477	"Vespa velutina"	44.71455	4.54119	"Animalia"	"Arthropoda"	"Insecta"
"2923"	1311477	"Vespa velutina"	42.112526	-8.555532	"Animalia"	"Arthropoda"	"Insecta"
"2924"	1311477	"Vespa velutina"	48.503793	5.508683	"Animalia"	"Arthropoda"	"Insecta"
"2937"	1311477	"Vespa velutina"	43.66868	2.29608	"Animalia"	"Arthropoda"	"Insecta"
"3005"	1311477	"Vespa velutina"	44.02653	3.35095	"Animalia"	"Arthropoda"	"Insecta"
"3120"	1311477	"Vespa velutina"	42.78639	2.49204	"Animalia"	"Arthropoda"	"Insecta"
"3135"	1311477	"Vespa velutina"	42.68507	2.78859	"Animalia"	"Arthropoda"	"Insecta"
"3402"	1311477	"Vespa velutina"	44.45416	2.13865	"Animalia"	"Arthropoda"	"Insecta"
"3418"	1311477	"Vespa velutina"	43.9796	3.71462	"Animalia"	"Arthropoda"	"Insecta"
"3444"	1311477	"Vespa velutina"	43.75422	4.15375	"Animalia"	"Arthropoda"	"Insecta"
"3489"	1311477	"Vespa velutina"	48.5815	-0.23542	"Animalia"	"Arthropoda"	"Insecta"
"13291"	1311477	"Vespa velutina"	51.28426	3.56481	"Animalia"	"Arthropoda"	"Insecta"
"13445"	1311477	"Vespa velutina"	50.8506	2.79408	"Animalia"	"Arthropoda"	"Insecta"
"15442"	1311477	"Vespa velutina"	50.84465	4.73668	"Animalia"	"Arthropoda"	"Insecta"
"19377"	1311477	"Vespa velutina"	53.198624	8.603108	"Animalia"	"Arthropoda"	"Insecta"
"19380"	1311477	"Vespa velutina"	52.732735	12.27874	"Animalia"	"Arthropoda"	"Insecta"
"19410"	1311477	"Vespa velutina"	50.976593	11.940907	"Animalia"	"Arthropoda"	"Insecta"
"19450"	1311477	"Vespa velutina"	43.346836	-8.261037	"Animalia"	"Arthropoda"	"Insecta"
"19680"	1311477	"Vespa velutina"	43.36814	-5.415959	"Animalia"	"Arthropoda"	"Insecta"
"19715"	1311477	"Vespa velutina"	42.854346	-2.638837	"Animalia"	"Arthropoda"	"Insecta"
"19721"	1311477	"Vespa velutina"	43.4071	0.13091	"Animalia"	"Arthropoda"	"Insecta"
"19743"	1311477	"Vespa velutina"	43.45774	0.64654	"Animalia"	"Arthropoda"	"Insecta"
"19811"	1311477	"Vespa velutina"	43.747208	-7.864992	"Animalia"	"Arthropoda"	"Insecta"
"20028"	1311477	"Vespa velutina"	43.79461	-0.92662	"Animalia"	"Arthropoda"	"Insecta"
"20030"	1311477	"Vespa velutina"	45.77687	4.85602	"Animalia"	"Arthropoda"	"Insecta"
"20044"	1311477	"Vespa velutina"	49.63857	-1.60787	"Animalia"	"Arthropoda"	"Insecta"
"20111"	1311477	"Vespa velutina"	53.184669	10.752945	"Animalia"	"Arthropoda"	"Insecta"
"20140"	1311477	"Vespa velutina"	52.477856	13.42013	"Animalia"	"Arthropoda"	"Insecta"
"20158"	1311477	"Vespa velutina"	51.492149	6.519167	"Animalia"	"Arthropoda"	"Insecta"
"20160"	1311477	"Vespa velutina"	50.628075	6.961905	"Animalia"	"Arthropoda"	"Insecta"
"20161"	1311477	"Vespa velutina"	48.079136	11.615623	"Animalia"	"Arthropoda"	"Insecta"
"20187"	1311477	"Vespa velutina"	45.439178	10.986524	"Animalia"	"Arthropoda"	"Insecta"
"20230"	1311477	"Vespa velutina"	51.141582	9.497344	"Animalia"	"Arthropoda"	"Insecta"
"20233"	1311477	"Vespa velutina"	47.817108	9.626495	"Animalia"	"Arthropoda"	"Insecta"
"20349"	1311477	"Vespa velutina"	50.539331	7.237533	"Animalia"	"Arthropoda"	"Insecta"
"20665"	1311477	"Vespa velutina"	51.193115	7.668457	"Animalia"	"Arthropoda"	"Insecta"
"21073"	1311477	"Vespa velutina"	49.499389	7.617795	"Animalia"	"Arthropoda"	"Insecta"
"21080"	1311477	"Vespa velutina"	50.023562	6.284201	"Animalia"	"Arthropoda"	"Insecta"
"21134"	1311477	"Vespa velutina"	48.82147	2.64802	"Animalia"	"Arthropoda"	"Insecta"
"21352"	1311477	"Vespa velutina"	43.5255	6.92748	"Animalia"	"Arthropoda"	"Insecta"
"21970"	1311477	"Vespa velutina"	48.39951	2.39947	"Animalia"	"Arthropoda"	"Insecta"
"22073"	1311477	"Vespa velutina"	49.65123	6.250355	"Animalia"	"Arthropoda"	"Insecta"
"22185"	1311477	"Vespa velutina"	48.778183	11.416965	"Animalia"	"Arthropoda"	"Insecta"
"22189"	1311477	"Vespa velutina"	47.994747	8.09292	"Animalia"	"Arthropoda"	"Insecta"
"22195"	1311477	"Vespa velutina"	54.069138	12.11321	"Animalia"	"Arthropoda"	"Insecta"
"22199"	1311477	"Vespa velutina"	52.210403	12.904296	"Animalia"	"Arthropoda"	"Insecta"
"22205"	1311477	"Vespa velutina"	53.805134	9.42611	"Animalia"	"Arthropoda"	"Insecta"
"22229"	1311477	"Vespa velutina"	53.378132	7.208116	"Animalia"	"Arthropoda"	"Insecta"
"22234"	1311477	"Vespa velutina"	50.660862	8.72589	"Animalia"	"Arthropoda"	"Insecta"
"22245"	1311477	"Vespa velutina"	47.626801	8.32405	"Animalia"	"Arthropoda"	"Insecta"
"22249"	1311477	"Vespa velutina"	51.613331	9.239802	"Animalia"	"Arthropoda"	"Insecta"
"22261"	1311477	"Vespa velutina"	47.789829	13.078006	"Animalia"	"Arthropoda"	"Insecta"
"22303"	1311477	"Vespa velutina"	48.28493	-2.71018	"Animalia"	"Arthropoda"	"Insecta"
"22396"	1311477	"Vespa velutina"	49.484943	8.295761	"Animalia"	"Arthropoda"	"Insecta"
"22441"	1311477	"Vespa velutina"	43.66576	1.08985	"Animalia"	"Arthropoda"	"Insecta"
"22449"	1311477	"Vespa velutina"	42.75524	1.68077	"Animalia"	"Arthropoda"	"Insecta"
"22452"	1311477	"Vespa velutina"	47.26178	2.56684	"Animalia"	"Arthropoda"	"Insecta"
"22454"	1311477	"Vespa velutina"	47.44323	2.81201	"Animalia"	"Arthropoda"	"Insecta"
"22465"	1311477	"Vespa velutina"	47.47899	1.257	"Animalia"	"Arthropoda"	"Insecta"
"22540"	1311477	"Vespa velutina"	47.6941	2.84441	"Animalia"	"Arthropoda"	"Insecta"
"22573"	1311477	"Vespa velutina"	43.375347	-4.040662	"Animalia"	"Arthropoda"	"Insecta"
"22587"	1311477	"Vespa velutina"	43.53726	4.76251	"Animalia"	"Arthropoda"	"Insecta"
"22620"	1311477	"Vespa velutina"	43.19256	3.18664	"Animalia"	"Arthropoda"	"Insecta"
