"speciesKey"	"species"	"decimalLatitude"	"decimalLongitude"	"kingdom"	"phylum"	"class"
"1"	1311477	"Vespa velutina"	48.46615	2.70606	"Animalia"	"Arthropoda"	"Insecta"
"2"	1311477	"Vespa velutina"	48.46407	2.70122	"Animalia"	"Arthropoda"	"Insecta"
"3"	1311477	"Vespa velutina"	48.37568	2.8219	"Animalia"	"Arthropoda"	"Insecta"
"4"	1311477	"Vespa velutina"	49.45407	2.11852	"Animalia"	"Arthropoda"	"Insecta"
"5"	1311477	"Vespa velutina"	50.878427	4.284123	"Animalia"	"Arthropoda"	"Insecta"
"6"	1311477	"Vespa velutina"	50.885316	3.787118	"Animalia"	"Arthropoda"	"Insecta"
"7"	1311477	"Vespa velutina"	51.136159	3.99892	"Animalia"	"Arthropoda"	"Insecta"
"8"	1311477	"Vespa velutina"	50.835725	3.401457	"Animalia"	"Arthropoda"	"Insecta"
"9"	1311477	"Vespa velutina"	50.81049	4.346437	"Animalia"	"Arthropoda"	"Insecta"
"10"	1311477	"Vespa velutina"	47.769722	4.166389	"Animalia"	"Arthropoda"	"Insecta"
"11"	1311477	"Vespa velutina"	50.838066	4.555528	"Animalia"	"Arthropoda"	"Insecta"
"12"	1311477	"Vespa velutina"	51.302159	4.678706	"Animalia"	"Arthropoda"	"Insecta"
"13"	1311477	"Vespa velutina"	42.858555	-8.648939	"Animalia"	"Arthropoda"	"Insecta"
"14"	1311477	"Vespa velutina"	40.452805	-8.670586	"Animalia"	"Arthropoda"	"Insecta"
"15"	1311477	"Vespa velutina"	51.221436	4.340177	"Animalia"	"Arthropoda"	"Insecta"
"16"	1311477	"Vespa velutina"	51.170366	3.127107	"Animalia"	"Arthropoda"	"Insecta"
"17"	1311477	"Vespa velutina"	43.469663	-0.321261	"Animalia"	"Arthropoda"	"Insecta"
"18"	1311477	"Vespa velutina"	50.80009	4.088202	"Animalia"	"Arthropoda"	"Insecta"
"19"	1311477	"Vespa velutina"	51.146464	3.134968	"Animalia"	"Arthropoda"	"Insecta"
"20"	1311477	"Vespa velutina"	51.189792	3.136894	"Animalia"	"Arthropoda"	"Insecta"
"21"	1311477	"Vespa velutina"	50.749878	3.625869	"Animalia"	"Arthropoda"	"Insecta"
